"qname","qtype","dimension","ecode","value","rescaled_value","identity"
"Q756_1","trait","gender",23.157884419234,0,0.5,"adult"
"Q756_1","trait","gender",20.7439652429297,0,0.5,"adult"
"Q757_1","trait","white",34.100279099797,25,0.25,"adult"
"Q757_1","trait","white",48.2676862853737,55,0.55,"adult"
"Q757_1","trait","white",54.0849649885402,49,0.49,"adult"
"Q757_1","trait","white",41.646975005429,89,0.89,"adult"
"Q757_1","trait","white",44.582744440898,49,0.49,"adult"
"Q757_1","trait","white",21.0537053381684,57,0.57,"adult"
"Q757_1","trait","white",18.0546397164126,50,0.5,"adult"
"Q757_1","trait","white",37.3213952040117,21,0.21,"adult"
"Q757_1","trait","white",41.9465678492437,50,0.5,"adult"
"Q757_1","trait","white",46.570440877129,49,0.49,"adult"
"Q757_1","trait","white",16.1789553866673,30,0.3,"adult"
"Q757_1","trait","white",19.9593024861438,74,0.74,"adult"
"Q757_1","trait","white",21.4620945338304,50,0.5,"adult"
"Q757_1","trait","white",18.690694542064,43,0.43,"adult"
"Q757_1","trait","white",23.157884419234,54,0.54,"adult"
"Q757_1","trait","white",20.7439652429297,71,0.71,"adult"
"Q757_2","trait","latino",34.100279099797,19,0.19,"adult"
"Q757_2","trait","latino",48.2676862853737,20,0.2,"adult"
"Q757_2","trait","latino",54.0849649885402,32,0.32,"adult"
"Q757_2","trait","latino",41.646975005429,23,0.23,"adult"
"Q757_2","trait","latino",44.582744440898,16,0.16,"adult"
"Q757_2","trait","latino",21.0537053381684,20,0.2,"adult"
"Q757_2","trait","latino",18.0546397164126,15,0.15,"adult"
"Q757_2","trait","latino",37.3213952040117,21,0.21,"adult"
"Q757_2","trait","latino",41.9465678492437,51,0.51,"adult"
"Q757_2","trait","latino",46.570440877129,49,0.49,"adult"
"Q757_2","trait","latino",16.1789553866673,40,0.4,"adult"
"Q757_2","trait","latino",19.9593024861438,10,0.1,"adult"
"Q757_2","trait","latino",21.4620945338304,50,0.5,"adult"
"Q757_2","trait","latino",18.690694542064,42,0.42,"adult"
"Q757_2","trait","latino",23.157884419234,13,0.13,"adult"
"Q757_2","trait","latino",20.7439652429297,71,0.71,"adult"
"Q757_3","trait","asian",34.100279099797,8,0.08,"adult"
"Q757_3","trait","asian",48.2676862853737,13,0.13,"adult"
"Q757_3","trait","asian",54.0849649885402,31,0.31,"adult"
"Q757_3","trait","asian",41.646975005429,22,0.22,"adult"
"Q757_3","trait","asian",44.582744440898,16,0.16,"adult"
"Q757_3","trait","asian",21.0537053381684,10,0.1,"adult"
"Q757_3","trait","asian",18.0546397164126,20,0.2,"adult"
"Q757_3","trait","asian",37.3213952040117,33,0.33,"adult"
"Q757_3","trait","asian",41.9465678492437,51,0.51,"adult"
"Q757_3","trait","asian",46.570440877129,50,0.5,"adult"
"Q757_3","trait","asian",16.1789553866673,20,0.2,"adult"
"Q757_3","trait","asian",19.9593024861438,3,0.03,"adult"
"Q757_3","trait","asian",21.4620945338304,50,0.5,"adult"
"Q757_3","trait","asian",18.690694542064,37,0.37,"adult"
"Q757_3","trait","asian",23.157884419234,8,0.08,"adult"
"Q757_3","trait","asian",20.7439652429297,71,0.71,"adult"
